"Resource Name","Resource Type","Resource Group",Location,Subscription
batch-prod-287,Microsoft.Batch/batchAccounts,rg-core,westus2,Subscription-Prod
nic-prod-288,Microsoft.Network/networkInterfaces,rg-production,westus,Subscription-Prod
storage-dev-289,Microsoft.Storage/storageAccounts,rg-core,canadacentral,Subscription-DR
apim-dev-290,Microsoft.ApiManagement/service,rg-core,centralus,Subscription-Shared
cdn-shrd-291,Microsoft.Cdn/profiles,rg-functions,koreacentral,Subscription-Dev
bastion-dr-292,Microsoft.Network/bastionHosts,rg-services,koreacentral,Subscription-Prod
nic-prod-293,Microsoft.Network/networkInterfaces,rg-infra,canadacentral,Subscription-Dev
redis-dr-294,Microsoft.Cache/redis,rg-integration,uksouth,Subscription-Dev
syn-stg-295,Microsoft.Synapse/workspaces,rg-backup,southindia,Subscription-Staging
iothub-prod-296,Microsoft.Devices/IotHubs,rg-integration,westus,Subscription-Prod
appconfig-dr-297,Microsoft.AppConfiguration/configurationStores,rg-aks,southindia,Subscription-Dev
syn-dr-298,Microsoft.Synapse/workspaces,rg-security,uksouth,Subscription-Staging
alert-stg-299,Microsoft.Insights/metricAlerts,rg-database,westus2,Subscription-Prod
kv-dev-300,Microsoft.KeyVault/vaults,rg-functions,westus2,Subscription-Prod
asa-shrd-301,Microsoft.StreamAnalytics/streamingjobs,rg-shared,canadacentral,Subscription-Staging
webapp-dr-302,Microsoft.Web/sites,rg-storage,australiaeast,Subscription-DR
health-shrd-303,Microsoft.HealthcareApis/services,rg-network,japaneast,Subscription-DR
media-dev-304,Microsoft.Media/mediaservices,rg-cache,francecentral,Subscription-DR
acr-stg-305,Microsoft.ContainerRegistry/registries,rg-monitoring,eastus2,Subscription-Staging
vpngw-dr-306,Microsoft.Network/vpnGateways,rg-core,westus,Subscription-Prod
adf-dev-307,Microsoft.DataFactory/factories,rg-production,westeurope,Subscription-Prod
kv-dev-308,Microsoft.KeyVault/vaults,rg-backup,canadacentral,Subscription-Dev
mi-dev-309,Microsoft.ManagedIdentity/userAssignedIdentities,rg-monitoring,canadacentral,Subscription-Prod
blob-prod-310,Microsoft.Storage/storageAccounts/blobServices,rg-network,southindia,Subscription-DR
tm-shrd-311,Microsoft.Network/trafficManagerProfiles,rg-staging,francecentral,Subscription-Dev
logic-shrd-312,Microsoft.Logic/workflows,rg-webapp,westus2,Subscription-Prod
pip-dev-313,Microsoft.Network/publicIPAddresses,rg-services,centralus,Subscription-Shared
er-dev-314,Microsoft.Network/expressRouteCircuits,rg-dr,australiaeast,Subscription-DR
sb-prod-315,Microsoft.ServiceBus/namespaces,rg-security,canadacentral,Subscription-Shared
ci-prod-316,Microsoft.ContainerInstance/containerGroups,rg-database,eastus2,Subscription-Shared
aml-dev-317,Microsoft.MachineLearningServices/workspaces,rg-backup,koreacentral,Subscription-DR
evhns-dr-318,Microsoft.EventHub/namespaces,rg-network,uksouth,Subscription-Prod
fw-stg-319,Microsoft.Network/azureFirewalls,rg-security,westeurope,Subscription-Shared
apim-shrd-320,Microsoft.ApiManagement/service,rg-staging,japaneast,Subscription-Shared
er-shrd-321,Microsoft.Network/expressRouteCircuits,rg-shared,australiaeast,Subscription-Shared
pe-prod-322,Microsoft.Network/privateEndpoints,rg-aks,uksouth,Subscription-Dev
evgt-dev-323,Microsoft.EventGrid/topics,rg-dr,australiaeast,Subscription-Staging
conn-stg-324,Microsoft.Web/connections,rg-shared,westus2,Subscription-Staging
search-stg-325,Microsoft.Search/searchServices,rg-core,centralus,Subscription-Shared
psql-prod-326,Microsoft.DBforPostgreSQL/servers,rg-backup,brazilsouth,Subscription-DR
evgt-shrd-327,Microsoft.EventGrid/topics,rg-dev,brazilsouth,Subscription-Dev
rsv-dev-328,Microsoft.RecoveryServices/vaults,rg-cache,japaneast,Subscription-DR
appins-shrd-329,Microsoft.Insights/components,rg-network,westeurope,Subscription-DR
search-dr-330,Microsoft.Search/searchServices,rg-aks,australiaeast,Subscription-DR
alert-dr-331,Microsoft.Insights/metricAlerts,rg-core,koreacentral,Subscription-Dev
aa-prod-332,Microsoft.Automation/automationAccounts,rg-core,japaneast,Subscription-Prod
pip-dr-333,Microsoft.Network/publicIPAddresses,rg-monitoring,southeastasia,Subscription-Dev
er-prod-334,Microsoft.Network/expressRouteCircuits,rg-staging,eastus,Subscription-DR
aml-dev-335,Microsoft.MachineLearningServices/workspaces,rg-security,southeastasia,Subscription-Dev
adf-shrd-336,Microsoft.DataFactory/factories,rg-integration,westus,Subscription-Prod
kv-stg-337,Microsoft.KeyVault/vaults,rg-services,westus3,Subscription-Shared
image-dr-338,Microsoft.Compute/images,rg-integration,southeastasia,Subscription-Staging
media-shrd-339,Microsoft.Media/mediaservices,rg-core,eastus2,Subscription-Staging
syn-shrd-340,Microsoft.Synapse/workspaces,rg-backup,eastasia,Subscription-Staging
aks-dr-341,Microsoft.ContainerService/managedClusters,rg-services,southindia,Subscription-Staging
mysql-prod-342,Microsoft.DBforMySQL/servers,rg-webapp,koreacentral,Subscription-Prod
batch-dr-343,Microsoft.Batch/batchAccounts,rg-aks,canadacentral,Subscription-Dev
kv-dev-344,Microsoft.KeyVault/vaults,rg-integration,centralus,Subscription-Dev
tm-dev-345,Microsoft.Network/trafficManagerProfiles,rg-integration,eastus,Subscription-Shared
role-stg-346,Microsoft.Authorization/roleAssignments,rg-security,centralus,Subscription-Dev
vm-stg-347,Microsoft.Compute/virtualMachines,rg-storage,northeurope,Subscription-Shared
conn-prod-348,Microsoft.Web/connections,rg-dr,canadacentral,Subscription-Shared
apim-dev-349,Microsoft.ApiManagement/service,rg-cache,southindia,Subscription-Staging
mysql-prod-350,Microsoft.DBforMySQL/servers,rg-dev,koreacentral,Subscription-Staging
batch-prod-351,Microsoft.Batch/batchAccounts,rg-backup,canadacentral,Subscription-Prod
batch-dr-352,Microsoft.Batch/batchAccounts,rg-aks,australiaeast,Subscription-Shared
cdn-stg-353,Microsoft.Cdn/profiles,rg-cache,uksouth,Subscription-Prod
sf-prod-354,Microsoft.ServiceFabric/clusters,rg-security,eastus2,Subscription-Shared
nhns-dev-355,Microsoft.NotificationHubs/namespaces,rg-storage,uksouth,Subscription-Prod
fw-prod-356,Microsoft.Network/azureFirewalls,rg-infra,southeastasia,Subscription-DR
disk-dr-357,Microsoft.Compute/disks,rg-network,westus2,Subscription-Shared
aml-dev-358,Microsoft.MachineLearningServices/workspaces,rg-functions,westeurope,Subscription-Staging
dns-dr-359,Microsoft.Network/dnsZones,rg-cache,westus,Subscription-Dev
actgrp-prod-360,Microsoft.Insights/actionGroups,rg-monitoring,westus2,Subscription-Dev
psql-prod-361,Microsoft.DBforPostgreSQL/servers,rg-storage,westus3,Subscription-Dev
aml-dev-362,Microsoft.MachineLearningServices/workspaces,rg-core,centralus,Subscription-Dev
disk-dr-363,Microsoft.Compute/disks,rg-dev,australiaeast,Subscription-DR
conn-dr-364,Microsoft.Web/connections,rg-dr,brazilsouth,Subscription-Prod
asa-shrd-365,Microsoft.StreamAnalytics/streamingjobs,rg-backup,australiaeast,Subscription-Dev
signalr-dev-366,Microsoft.SignalRService/signalR,rg-security,eastus,Subscription-DR
logic-dr-367,Microsoft.Logic/workflows,rg-dev,southindia,Subscription-Staging
sqldb-shrd-368,Microsoft.Sql/servers/databases,rg-webapp,japaneast,Subscription-Dev
nic-dr-369,Microsoft.Network/networkInterfaces,rg-services,eastasia,Subscription-Prod
sf-dr-370,Microsoft.ServiceFabric/clusters,rg-aks,francecentral,Subscription-Shared
pip-stg-371,Microsoft.Network/publicIPAddresses,rg-staging,japaneast,Subscription-Staging
syn-dev-372,Microsoft.Synapse/workspaces,rg-shared,southeastasia,Subscription-Staging
vnet-prod-373,Microsoft.Network/virtualNetworks,rg-monitoring,westus3,Subscription-Staging
mysql-dev-374,Microsoft.DBforMySQL/servers,rg-network,southindia,Subscription-DR
alert-stg-375,Microsoft.Insights/metricAlerts,rg-services,uksouth,Subscription-Prod
iothub-stg-376,Microsoft.Devices/IotHubs,rg-functions,brazilsouth,Subscription-Dev
mariadb-shrd-377,Microsoft.DBforMariaDB/servers,rg-aks,southindia,Subscription-DR
storage-shrd-378,Microsoft.Storage/storageAccounts,rg-infra,southindia,Subscription-Dev
signalr-dev-379,Microsoft.SignalRService/signalR,rg-services,westus,Subscription-DR
blk-prod-380,Microsoft.Blockchain/blockchainMembers,rg-core,westus,Subscription-Prod
sf-dev-381,Microsoft.ServiceFabric/clusters,rg-production,francecentral,Subscription-Staging
avset-dr-382,Microsoft.Compute/availabilitySets,rg-functions,brazilsouth,Subscription-Staging
rsv-prod-383,Microsoft.RecoveryServices/vaults,rg-core,westus2,Subscription-DR
mariadb-stg-384,Microsoft.DBforMariaDB/servers,rg-staging,southeastasia,Subscription-Dev
fw-dev-385,Microsoft.Network/azureFirewalls,rg-containers,northeurope,Subscription-Staging
cdn-dev-386,Microsoft.Cdn/profiles,rg-integration,japaneast,Subscription-Dev
storage-shrd-387,Microsoft.Storage/storageAccounts,rg-infra,westus,Subscription-Dev
batch-stg-388,Microsoft.Batch/batchAccounts,rg-integration,koreacentral,Subscription-Dev
snapshot-dr-389,Microsoft.Compute/snapshots,rg-production,francecentral,Subscription-Dev
blk-dr-390,Microsoft.Blockchain/blockchainMembers,rg-core,eastus2,Subscription-DR
aa-stg-391,Microsoft.Automation/automationAccounts,rg-containers,northeurope,Subscription-DR
vnetgw-dr-392,Microsoft.Network/virtualNetworkGateways,rg-staging,eastus2,Subscription-Prod
batch-dr-393,Microsoft.Batch/batchAccounts,rg-infra,westeurope,Subscription-Dev
appgw-stg-394,Microsoft.Network/applicationGateways,rg-integration,southeastasia,Subscription-DR
cog-dr-395,Microsoft.CognitiveServices/accounts,rg-staging,uksouth,Subscription-DR
adls-prod-396,Microsoft.DataLakeStore/accounts,rg-cache,westus2,Subscription-Staging
vmss-dr-397,Microsoft.Compute/virtualMachineScaleSets,rg-infra,southeastasia,Subscription-Shared
aml-shrd-398,Microsoft.MachineLearningServices/workspaces,rg-functions,westeurope,Subscription-Shared
ci-prod-399,Microsoft.ContainerInstance/containerGroups,rg-staging,centralus,Subscription-DR
appgw-dr-400,Microsoft.Network/applicationGateways,rg-staging,japaneast,Subscription-Prod
dbr-dr-401,Microsoft.Databricks/workspaces,rg-infra,northeurope,Subscription-Dev
vnetgw-stg-402,Microsoft.Network/virtualNetworkGateways,rg-infra,southindia,Subscription-Shared
iothub-stg-403,Microsoft.Devices/IotHubs,rg-network,canadacentral,Subscription-DR
signalr-stg-404,Microsoft.SignalRService/signalR,rg-containers,southindia,Subscription-Dev
asa-shrd-405,Microsoft.StreamAnalytics/streamingjobs,rg-dev,westus3,Subscription-Shared
dns-prod-406,Microsoft.Network/dnsZones,rg-infra,northeurope,Subscription-Prod
evhns-shrd-407,Microsoft.EventHub/namespaces,rg-functions,westus3,Subscription-Prod
er-shrd-408,Microsoft.Network/expressRouteCircuits,rg-monitoring,japaneast,Subscription-DR
batch-dev-409,Microsoft.Batch/batchAccounts,rg-integration,westus3,Subscription-DR
nsg-dev-410,Microsoft.Network/networkSecurityGroups,rg-dev,eastasia,Subscription-Shared
dbr-stg-411,Microsoft.Databricks/workspaces,rg-shared,westeurope,Subscription-Prod
avset-shrd-412,Microsoft.Compute/availabilitySets,rg-staging,northeurope,Subscription-Dev
nhns-shrd-413,Microsoft.NotificationHubs/namespaces,rg-aks,eastasia,Subscription-Prod
rsv-dev-414,Microsoft.RecoveryServices/vaults,rg-backup,westeurope,Subscription-Dev
webapp-stg-415,Microsoft.Web/sites,rg-infra,northeurope,Subscription-Dev
sf-shrd-416,Microsoft.ServiceFabric/clusters,rg-database,canadacentral,Subscription-Prod
webapp-dr-417,Microsoft.Web/sites,rg-production,westus3,Subscription-Dev
logic-stg-418,Microsoft.Logic/workflows,rg-shared,westeurope,Subscription-Staging
vmss-shrd-419,Microsoft.Compute/virtualMachineScaleSets,rg-aks,francecentral,Subscription-Prod
mysql-stg-420,Microsoft.DBforMySQL/servers,rg-infra,eastus,Subscription-DR
appgw-dr-421,Microsoft.Network/applicationGateways,rg-backup,southindia,Subscription-Staging
evhns-stg-422,Microsoft.EventHub/namespaces,rg-shared,northeurope,Subscription-DR
batch-dr-423,Microsoft.Batch/batchAccounts,rg-cache,eastus2,Subscription-Staging
mariadb-prod-424,Microsoft.DBforMariaDB/servers,rg-cache,eastasia,Subscription-DR
avset-dev-425,Microsoft.Compute/availabilitySets,rg-security,japaneast,Subscription-Dev
lb-shrd-426,Microsoft.Network/loadBalancers,rg-webapp,southeastasia,Subscription-Shared
lb-stg-427,Microsoft.Network/loadBalancers,rg-aks,francecentral,Subscription-Dev
nic-shrd-428,Microsoft.Network/networkInterfaces,rg-functions,koreacentral,Subscription-Shared
fd-stg-429,Microsoft.Network/frontDoors,rg-staging,northeurope,Subscription-Staging
tm-prod-430,Microsoft.Network/trafficManagerProfiles,rg-services,southeastasia,Subscription-Prod
storage-prod-431,Microsoft.Storage/storageAccounts,rg-production,westus2,Subscription-DR
vnetgw-prod-432,Microsoft.Network/virtualNetworkGateways,rg-webapp,southeastasia,Subscription-Dev
mysql-prod-433,Microsoft.DBforMySQL/servers,rg-staging,northeurope,Subscription-Staging
vnetgw-shrd-434,Microsoft.Network/virtualNetworkGateways,rg-database,eastus,Subscription-Prod
vm-stg-435,Microsoft.Compute/virtualMachines,rg-containers,eastus2,Subscription-Shared
fw-prod-436,Microsoft.Network/azureFirewalls,rg-storage,uksouth,Subscription-Dev
batch-shrd-437,Microsoft.Batch/batchAccounts,rg-integration,uksouth,Subscription-Staging
acr-dr-438,Microsoft.ContainerRegistry/registries,rg-dr,canadacentral,Subscription-Staging
storage-stg-439,Microsoft.Storage/storageAccounts,rg-dr,eastus2,Subscription-Shared
snapshot-stg-440,Microsoft.Compute/snapshots,rg-webapp,centralus,Subscription-DR
appconfig-dev-441,Microsoft.AppConfiguration/configurationStores,rg-production,westus,Subscription-DR
actgrp-shrd-442,Microsoft.Insights/actionGroups,rg-backup,centralus,Subscription-DR
lb-prod-443,Microsoft.Network/loadBalancers,rg-webapp,canadacentral,Subscription-Dev
health-dev-444,Microsoft.HealthcareApis/services,rg-webapp,koreacentral,Subscription-DR
adls-stg-445,Microsoft.DataLakeStore/accounts,rg-monitoring,koreacentral,Subscription-Prod
cdn-dev-446,Microsoft.Cdn/profiles,rg-core,southindia,Subscription-Shared
sf-stg-447,Microsoft.ServiceFabric/clusters,rg-dev,brazilsouth,Subscription-DR
lb-prod-448,Microsoft.Network/loadBalancers,rg-staging,westus3,Subscription-Shared
health-stg-449,Microsoft.HealthcareApis/services,rg-storage,australiaeast,Subscription-Staging
syn-stg-450,Microsoft.Synapse/workspaces,rg-services,canadacentral,Subscription-Staging
adf-dr-451,Microsoft.DataFactory/factories,rg-integration,westeurope,Subscription-Shared
evgt-dr-452,Microsoft.EventGrid/topics,rg-infra,canadacentral,Subscription-Dev
cdn-stg-453,Microsoft.Cdn/profiles,rg-core,eastus,Subscription-Staging
dms-stg-454,Microsoft.DataMigration/services,rg-security,eastus2,Subscription-Shared
logic-dr-455,Microsoft.Logic/workflows,rg-backup,southindia,Subscription-Prod
role-dr-456,Microsoft.Authorization/roleAssignments,rg-aks,westeurope,Subscription-Dev
alert-dev-457,Microsoft.Insights/metricAlerts,rg-webapp,koreacentral,Subscription-Dev
sqlsrv-dev-458,Microsoft.Sql/servers,rg-services,canadacentral,Subscription-Prod
nic-dev-459,Microsoft.Network/networkInterfaces,rg-production,francecentral,Subscription-Staging
sf-dr-460,Microsoft.ServiceFabric/clusters,rg-containers,francecentral,Subscription-Staging
nic-dev-461,Microsoft.Network/networkInterfaces,rg-functions,centralus,Subscription-Staging
cdn-shrd-462,Microsoft.Cdn/profiles,rg-core,southindia,Subscription-Shared
disk-shrd-463,Microsoft.Compute/disks,rg-functions,southeastasia,Subscription-Staging
tm-prod-464,Microsoft.Network/trafficManagerProfiles,rg-aks,westus3,Subscription-Prod
adf-prod-465,Microsoft.DataFactory/factories,rg-infra,westus,Subscription-DR
er-dev-466,Microsoft.Network/expressRouteCircuits,rg-network,westus3,Subscription-Shared
evhns-shrd-467,Microsoft.EventHub/namespaces,rg-aks,uksouth,Subscription-Shared
er-dev-468,Microsoft.Network/expressRouteCircuits,rg-dr,westus2,Subscription-Shared
sqlsrv-shrd-469,Microsoft.Sql/servers,rg-backup,northeurope,Subscription-Staging
fw-prod-470,Microsoft.Network/azureFirewalls,rg-infra,australiaeast,Subscription-Prod
appins-stg-471,Microsoft.Insights/components,rg-integration,australiaeast,Subscription-Dev
evgt-stg-472,Microsoft.EventGrid/topics,rg-storage,eastasia,Subscription-Dev
pe-shrd-473,Microsoft.Network/privateEndpoints,rg-infra,eastasia,Subscription-Staging
acr-shrd-474,Microsoft.ContainerRegistry/registries,rg-backup,westus,Subscription-DR
vm-dev-475,Microsoft.Compute/virtualMachines,rg-staging,uksouth,Subscription-Prod
lb-dev-476,Microsoft.Network/loadBalancers,rg-network,japaneast,Subscription-DR
media-stg-477,Microsoft.Media/mediaservices,rg-integration,centralus,Subscription-Shared
psql-dr-478,Microsoft.DBforPostgreSQL/servers,rg-storage,westus2,Subscription-Dev
mysql-dr-479,Microsoft.DBforMySQL/servers,rg-dev,westus,Subscription-Staging
vpngw-dev-480,Microsoft.Network/vpnGateways,rg-monitoring,southeastasia,Subscription-Shared
evhns-dr-481,Microsoft.EventHub/namespaces,rg-backup,japaneast,Subscription-Prod
pe-dr-482,Microsoft.Network/privateEndpoints,rg-database,westus3,Subscription-Staging
appconfig-stg-483,Microsoft.AppConfiguration/configurationStores,rg-integration,brazilsouth,Subscription-Prod
redis-dev-484,Microsoft.Cache/redis,rg-staging,eastus2,Subscription-Dev
mysql-dr-485,Microsoft.DBforMySQL/servers,rg-backup,westus2,Subscription-Dev
nsg-dr-486,Microsoft.Network/networkSecurityGroups,rg-integration,eastasia,Subscription-Prod
image-dr-487,Microsoft.Compute/images,rg-storage,uksouth,Subscription-Dev
aks-dev-488,Microsoft.ContainerService/managedClusters,rg-network,northeurope,Subscription-DR
dns-dr-489,Microsoft.Network/dnsZones,rg-dev,brazilsouth,Subscription-Prod
dbr-prod-490,Microsoft.Databricks/workspaces,rg-cache,centralus,Subscription-DR
pip-dev-491,Microsoft.Network/publicIPAddresses,rg-aks,westus2,Subscription-Shared
conn-dr-492,Microsoft.Web/connections,rg-core,eastasia,Subscription-Dev
search-dev-493,Microsoft.Search/searchServices,rg-aks,westeurope,Subscription-Shared
fd-prod-494,Microsoft.Network/frontDoors,rg-services,eastus2,Subscription-Shared
vm-stg-495,Microsoft.Compute/virtualMachines,rg-shared,southeastasia,Subscription-DR
dbr-dev-496,Microsoft.Databricks/workspaces,rg-core,brazilsouth,Subscription-Staging
actgrp-dev-497,Microsoft.Insights/actionGroups,rg-network,koreacentral,Subscription-DR
alert-shrd-498,Microsoft.Insights/metricAlerts,rg-aks,australiaeast,Subscription-Dev
sqldb-dr-499,Microsoft.Sql/servers/databases,rg-aks,canadacentral,Subscription-Staging
sf-shrd-500,Microsoft.ServiceFabric/clusters,rg-functions,westus,Subscription-Staging
logic-stg-501,Microsoft.Logic/workflows,rg-core,eastus,Subscription-Shared
cdn-dev-502,Microsoft.Cdn/profiles,rg-network,japaneast,Subscription-DR
apim-dr-503,Microsoft.ApiManagement/service,rg-dev,westus2,Subscription-Dev
logic-shrd-504,Microsoft.Logic/workflows,rg-integration,centralus,Subscription-Staging
snapshot-prod-505,Microsoft.Compute/snapshots,rg-monitoring,eastus2,Subscription-Shared
blob-stg-506,Microsoft.Storage/storageAccounts/blobServices,rg-production,eastasia,Subscription-Prod
batch-prod-507,Microsoft.Batch/batchAccounts,rg-shared,westus,Subscription-Staging
adls-dr-508,Microsoft.DataLakeStore/accounts,rg-shared,westeurope,Subscription-Dev
syn-stg-509,Microsoft.Synapse/workspaces,rg-monitoring,eastus2,Subscription-Shared
appgw-dr-510,Microsoft.Network/applicationGateways,rg-integration,japaneast,Subscription-Dev
appconfig-prod-511,Microsoft.AppConfiguration/configurationStores,rg-storage,westus3,Subscription-DR
sqlsrv-dev-512,Microsoft.Sql/servers,rg-production,eastus2,Subscription-Prod
webapp-stg-513,Microsoft.Web/sites,rg-storage,eastasia,Subscription-Staging
psql-shrd-514,Microsoft.DBforPostgreSQL/servers,rg-webapp,japaneast,Subscription-Prod
law-dr-515,Microsoft.OperationalInsights/workspaces,rg-containers,canadacentral,Subscription-Dev
mi-prod-516,Microsoft.ManagedIdentity/userAssignedIdentities,rg-database,westus,Subscription-Staging
sb-dr-517,Microsoft.ServiceBus/namespaces,rg-network,westus3,Subscription-Prod
health-dev-518,Microsoft.HealthcareApis/services,rg-security,westus,Subscription-Dev
psql-dr-519,Microsoft.DBforPostgreSQL/servers,rg-monitoring,uksouth,Subscription-Staging
media-shrd-520,Microsoft.Media/mediaservices,rg-containers,francecentral,Subscription-Staging
asp-shrd-521,Microsoft.Web/serverfarms,rg-integration,japaneast,Subscription-Shared
sqldb-stg-522,Microsoft.Sql/servers/databases,rg-network,southindia,Subscription-Prod
appconfig-dev-523,Microsoft.AppConfiguration/configurationStores,rg-webapp,francecentral,Subscription-DR
asp-prod-524,Microsoft.Web/serverfarms,rg-integration,eastus,Subscription-Dev
dns-stg-525,Microsoft.Network/dnsZones,rg-backup,southeastasia,Subscription-Prod
evhns-dev-526,Microsoft.EventHub/namespaces,rg-dr,eastus,Subscription-Shared
snapshot-dr-527,Microsoft.Compute/snapshots,rg-storage,southeastasia,Subscription-Shared
storage-dev-528,Microsoft.Storage/storageAccounts,rg-webapp,westus2,Subscription-Dev
pe-prod-529,Microsoft.Network/privateEndpoints,rg-security,brazilsouth,Subscription-Prod
logic-prod-530,Microsoft.Logic/workflows,rg-cache,centralus,Subscription-Staging
nic-dev-531,Microsoft.Network/networkInterfaces,rg-security,koreacentral,Subscription-DR
aa-dev-532,Microsoft.Automation/automationAccounts,rg-core,southeastasia,Subscription-Dev
redis-stg-533,Microsoft.Cache/redis,rg-core,westus3,Subscription-DR
pe-shrd-534,Microsoft.Network/privateEndpoints,rg-cache,northeurope,Subscription-Shared
nic-shrd-535,Microsoft.Network/networkInterfaces,rg-dev,southindia,Subscription-Staging
appgw-stg-536,Microsoft.Network/applicationGateways,rg-network,southeastasia,Subscription-DR
acr-dev-537,Microsoft.ContainerRegistry/registries,rg-shared,centralus,Subscription-DR
pe-shrd-538,Microsoft.Network/privateEndpoints,rg-core,westus2,Subscription-Prod
cdn-shrd-539,Microsoft.Cdn/profiles,rg-aks,westeurope,Subscription-Shared
sqlsrv-shrd-540,Microsoft.Sql/servers,rg-core,francecentral,Subscription-DR
avset-stg-541,Microsoft.Compute/availabilitySets,rg-shared,centralus,Subscription-Prod
cdn-dev-542,Microsoft.Cdn/profiles,rg-infra,northeurope,Subscription-Prod
avset-prod-543,Microsoft.Compute/availabilitySets,rg-containers,southeastasia,Subscription-Staging
sb-stg-544,Microsoft.ServiceBus/namespaces,rg-backup,southeastasia,Subscription-DR
nhns-shrd-545,Microsoft.NotificationHubs/namespaces,rg-aks,brazilsouth,Subscription-Prod
actgrp-dr-546,Microsoft.Insights/actionGroups,rg-aks,canadacentral,Subscription-Shared
syn-prod-547,Microsoft.Synapse/workspaces,rg-dev,westeurope,Subscription-Prod
psql-shrd-548,Microsoft.DBforPostgreSQL/servers,rg-cache,southeastasia,Subscription-DR
sf-stg-549,Microsoft.ServiceFabric/clusters,rg-webapp,westus,Subscription-Prod
hdi-dev-550,Microsoft.HDInsight/clusters,rg-webapp,westeurope,Subscription-Shared
media-dev-551,Microsoft.Media/mediaservices,rg-staging,eastus2,Subscription-Shared
logic-dr-552,Microsoft.Logic/workflows,rg-integration,westus2,Subscription-Dev
bastion-stg-553,Microsoft.Network/bastionHosts,rg-dev,southindia,Subscription-Staging
rt-stg-554,Microsoft.Network/routeTables,rg-storage,westus,Subscription-Staging
sqldb-dr-555,Microsoft.Sql/servers/databases,rg-security,francecentral,Subscription-Prod
disk-dev-556,Microsoft.Compute/disks,rg-aks,canadacentral,Subscription-Shared
syn-stg-557,Microsoft.Synapse/workspaces,rg-functions,brazilsouth,Subscription-Staging
sqlsrv-prod-558,Microsoft.Sql/servers,rg-integration,brazilsouth,Subscription-Staging
ci-stg-559,Microsoft.ContainerInstance/containerGroups,rg-production,southindia,Subscription-DR
nhns-stg-560,Microsoft.NotificationHubs/namespaces,rg-integration,northeurope,Subscription-Prod
webapp-prod-561,Microsoft.Web/sites,rg-integration,brazilsouth,Subscription-DR
sf-dev-562,Microsoft.ServiceFabric/clusters,rg-network,eastasia,Subscription-Shared
media-dev-563,Microsoft.Media/mediaservices,rg-aks,brazilsouth,Subscription-Staging
fd-dev-564,Microsoft.Network/frontDoors,rg-shared,francecentral,Subscription-Shared
actgrp-dev-565,Microsoft.Insights/actionGroups,rg-network,uksouth,Subscription-Shared
vpngw-prod-566,Microsoft.Network/vpnGateways,rg-backup,southindia,Subscription-Shared
relay-shrd-567,Microsoft.Relay/namespaces,rg-functions,koreacentral,Subscription-Prod
rsv-prod-568,Microsoft.RecoveryServices/vaults,rg-security,australiaeast,Subscription-DR
aks-dev-569,Microsoft.ContainerService/managedClusters,rg-core,westeurope,Subscription-Prod
disk-prod-570,Microsoft.Compute/disks,rg-monitoring,eastus2,Subscription-Staging
asp-dev-571,Microsoft.Web/serverfarms,rg-dev,southindia,Subscription-DR
mariadb-prod-572,Microsoft.DBforMariaDB/servers,rg-security,uksouth,Subscription-Shared
er-dev-573,Microsoft.Network/expressRouteCircuits,rg-monitoring,westeurope,Subscription-Prod
appgw-prod-574,Microsoft.Network/applicationGateways,rg-functions,southeastasia,Subscription-Dev
nhns-dr-575,Microsoft.NotificationHubs/namespaces,rg-services,westus,Subscription-Staging
batch-shrd-576,Microsoft.Batch/batchAccounts,rg-services,westeurope,Subscription-Staging
rt-shrd-577,Microsoft.Network/routeTables,rg-monitoring,francecentral,Subscription-Dev
hdi-prod-578,Microsoft.HDInsight/clusters,rg-webapp,eastus2,Subscription-DR
rt-dev-579,Microsoft.Network/routeTables,rg-database,centralus,Subscription-Shared
redis-shrd-580,Microsoft.Cache/redis,rg-security,centralus,Subscription-Shared
blk-dev-581,Microsoft.Blockchain/blockchainMembers,rg-database,westeurope,Subscription-Dev
lb-dev-582,Microsoft.Network/loadBalancers,rg-dr,southindia,Subscription-DR
vpngw-shrd-583,Microsoft.Network/vpnGateways,rg-dev,japaneast,Subscription-Prod
sf-prod-584,Microsoft.ServiceFabric/clusters,rg-integration,eastasia,Subscription-DR
conn-shrd-585,Microsoft.Web/connections,rg-core,westus,Subscription-Shared
snapshot-dev-586,Microsoft.Compute/snapshots,rg-backup,eastus2,Subscription-DR
search-prod-587,Microsoft.Search/searchServices,rg-webapp,westus2,Subscription-Prod
blob-shrd-588,Microsoft.Storage/storageAccounts/blobServices,rg-backup,southindia,Subscription-Staging
pip-stg-589,Microsoft.Network/publicIPAddresses,rg-aks,eastus2,Subscription-DR
storage-prod-590,Microsoft.Storage/storageAccounts,rg-core,uksouth,Subscription-Dev
lb-shrd-591,Microsoft.Network/loadBalancers,rg-backup,northeurope,Subscription-DR
fw-dev-592,Microsoft.Network/azureFirewalls,rg-backup,japaneast,Subscription-Dev
iothub-dev-593,Microsoft.Devices/IotHubs,rg-cache,eastus2,Subscription-Shared
dns-stg-594,Microsoft.Network/dnsZones,rg-containers,northeurope,Subscription-Dev
kv-prod-595,Microsoft.KeyVault/vaults,rg-cache,francecentral,Subscription-Shared
avset-dr-596,Microsoft.Compute/availabilitySets,rg-shared,brazilsouth,Subscription-Staging
actgrp-stg-597,Microsoft.Insights/actionGroups,rg-production,australiaeast,Subscription-DR
